Label,S1,S2,S3,S4,S5,S6,S7
1,4.54,1.85,2.26,1.39,63.81,4.78,83.5
1,4.67,1.98,2.3,1.58,62.53,5.0,82.2
0,19.45,26.82,22.83,30.35,2.11,13.34,56.5
1,5.35,2.38,2.47,3.39,35.16,4.23,73.8
0,24.4,8.91,7.65,10.38,6.86,16.63,69.6
1,4.52,1.81,2.26,1.38,62.53,4.87,82.5
1,4.71,1.98,2.3,1.54,63.81,4.98,81.6
0,22.34,7.14,6.38,6.61,10.33,15.69,72.6
0,22.14,7.55,6.4,7.44,9.1,15.5,71.2
0,27.01,9.63,9.06,5.13,12.66,16.7,72.7
1,6.47,9.12,2.53,3.59,16.79,6.52,74.3
0,22.54,31.29,25.69,39.29,2.21,14.46,56.5
0,22.96,31.8,25.69,40.11,2.22,14.7,56.5
0,25.85,37.88,27.67,48.6,2.21,15.56,56.2
0,22.14,33.96,28.81,42.44,2.42,14.7,56.6
0,24.52,7.34,7.41,4.86,14.08,15.25,72.8
1,4.65,1.96,2.29,1.48,63.16,4.95,81.0
0,21.74,32.32,27.39,40.39,2.37,14.94,56.5
0,25.11,6.45,7.89,5.09,13.43,15.82,72.4
1,4.5,1.83,2.27,1.38,64.47,4.8,82.7
1,5.76,8.27,2.5,3.32,18.96,5.45,73.5
0,22.44,6.26,6.53,4.5,15.91,14.46,72.8
0,21.93,6.69,6.09,6.2,11.15,15.62,72.2
0,21.93,8.43,6.04,4.27,14.2,14.58,73.1
0,23.07,42.03,29.11,48.98,2.21,14.52,55.8
1,4.52,1.83,2.26,1.41,63.81,4.76,81.7
0,22.14,34.15,28.81,42.44,2.41,14.82,56.6
1,4.71,1.94,2.3,1.45,62.53,5.06,81.7
0,21.93,7.31,6.3,7.21,9.39,15.56,71.3
1,19.29,9.16,4.64,4.39,14.02,13.94,72.8
0,24.4,6.19,7.38,4.98,14.02,15.5,73.1
0,24.99,8.14,7.52,4.82,13.37,15.56,72.8
0,22.03,7.34,6.3,7.15,9.43,15.69,71.3
1,6.33,8.98,2.51,3.76,16.79,6.23,73.6
0,23.72,8.6,7.26,9.34,7.36,16.7,70.1
0,21.54,31.97,26.2,40.67,2.24,14.29,56.5
0,22.54,7.88,6.61,8.01,8.44,16.08,71.0
1,4.67,1.97,2.3,1.6,64.47,5.04,81.8
0,24.63,8.14,7.35,4.68,13.43,15.5,72.8
1,4.91,2.01,2.39,2.76,62.53,4.33,77.5
0,17.7,4.76,4.62,5.61,14.89,13.29,72.8
0,24.29,8.98,7.83,11.11,6.47,16.77,68.7
1,4.91,2.04,2.41,3.27,60.09,4.37,76.6
1,4.54,1.87,2.29,1.41,61.28,4.76,81.8
0,22.14,6.97,6.25,6.93,9.81,15.18,71.7
0,24.29,8.8,7.68,10.51,6.73,16.77,69.5
1,5.13,2.32,2.45,3.35,44.29,4.21,75.1
1,4.69,2.0,2.3,1.58,61.28,5.0,81.9
1,16.62,8.91,3.12,4.18,15.09,12.18,73.3
1,4.88,2.07,2.42,2.95,62.53,4.37,77.3
1,4.48,1.74,2.24,1.35,63.16,4.78,83.1
0,22.14,7.61,6.45,7.71,8.88,15.62,71.5
0,25.85,38.33,28.09,47.84,2.19,15.75,56.2
0,22.75,7.95,6.7,8.14,8.31,16.15,71.0
0,23.61,32.14,25.82,40.96,2.22,15.0,56.5
1,4.48,1.75,2.24,1.34,62.53,4.74,83.0
0,24.63,6.88,7.11,5.94,11.71,16.15,72.5
0,22.03,30.31,24.72,39.56,2.28,14.17,56.5
0,25.47,9.23,8.41,13.68,5.86,16.77,65.4
0,23.95,6.94,6.97,6.13,11.19,16.15,72.8
0,24.52,9.01,7.95,11.34,6.47,16.84,68.5
1,4.86,2.0,2.41,2.55,64.47,4.35,77.8
1,4.88,2.07,2.42,2.89,62.53,4.37,77.3
1,4.61,1.89,2.27,1.46,63.81,4.91,82.0
1,4.67,2.01,2.3,1.55,63.81,4.95,81.7
0,21.93,33.58,28.09,41.83,2.37,15.0,56.5
0,21.93,6.72,6.09,6.23,11.01,15.43,72.3
0,27.42,8.14,9.06,5.09,12.45,16.77,72.6
0,24.52,8.91,7.83,11.16,6.47,16.63,68.7
0,18.47,26.82,23.04,30.53,2.06,13.03,56.5
0,23.83,8.6,7.32,9.56,7.25,16.15,70.1
0,24.06,6.01,7.06,4.98,14.08,15.5,72.3
1,14.17,9.75,2.72,4.31,14.51,11.43,73.6
0,25.72,6.74,8.28,5.19,12.99,16.15,72.4
1,4.91,2.03,2.41,2.89,62.53,4.27,77.3
1,4.5,1.85,2.26,1.36,63.81,4.78,82.4
0,21.93,6.8,6.17,6.3,10.84,15.31,72.3
1,4.95,2.07,2.42,3.05,60.09,4.37,76.0
1,4.65,1.96,2.27,1.5,62.53,4.95,82.2
0,24.06,8.7,7.43,9.94,7.05,16.77,70.0
0,21.93,6.91,6.22,6.38,10.62,15.31,72.6
1,4.63,1.92,2.27,1.48,63.81,4.91,82.1
1,4.5,1.85,2.26,1.39,62.53,4.78,82.5
0,21.93,33.96,28.66,42.44,2.41,14.46,56.6
1,4.91,2.06,2.42,2.8,58.93,4.35,75.8
0,20.24,27.78,23.47,32.4,2.13,13.45,56.5
1,4.91,2.0,2.39,2.72,60.09,4.33,76.2
1,4.52,1.83,2.24,1.4,64.47,4.78,82.5
0,21.64,31.97,27.25,39.83,2.36,14.82,56.5
1,4.69,1.98,2.32,1.5,63.16,4.98,81.4
0,24.4,8.91,7.62,10.3,6.83,16.42,69.6
0,23.72,6.8,6.64,6.43,11.1,16.22,72.9
0,22.86,6.53,6.32,6.48,11.42,15.82,72.7
1,4.69,2.0,2.3,1.6,63.81,5.09,82.2
1,17.93,6.5,4.79,4.2,17.18,12.62,72.9
1,5.35,2.39,2.45,3.51,36.37,4.25,73.8
0,23.5,41.76,29.56,48.98,2.19,14.82,56.2
0,22.75,41.5,29.72,49.38,2.23,14.58,55.1
0,24.29,8.8,7.49,10.06,6.94,16.63,69.7
0,24.87,9.12,8.24,12.96,5.91,16.56,66.0
0,25.72,7.14,8.28,5.61,11.66,16.77,72.2
1,4.67,1.96,2.29,1.58,62.53,5.02,81.9
1,4.59,1.9,2.27,1.47,63.16,4.91,82.3
0,23.72,33.21,26.46,41.83,2.24,15.18,56.5
1,4.88,2.1,2.42,3.28,56.73,4.35,75.7
0,26.1,37.88,27.81,48.6,2.21,16.08,56.2
1,4.88,2.04,2.42,2.84,62.53,4.35,77.4
0,22.65,33.96,26.46,42.44,2.23,14.58,56.5
1,5.22,2.33,2.47,3.28,41.05,4.19,74.0
1,5.4,2.38,2.45,3.24,34.25,4.33,73.9
0,24.29,6.91,6.94,6.18,11.29,16.08,72.7
0,24.17,8.8,7.52,10.1,6.94,16.56,69.7
1,4.88,2.01,2.39,2.67,63.16,4.39,76.8
1,4.61,1.89,2.29,1.46,62.53,4.93,81.9
1,4.48,1.82,2.26,1.38,65.83,4.76,83.4
1,4.86,2.08,2.44,3.22,55.17,4.33,75.6
0,22.03,33.77,28.52,42.13,2.38,14.82,56.6
0,25.47,11.49,8.44,13.68,5.86,16.63,64.7
1,4.48,1.85,2.26,1.4,64.47,4.78,82.5
0,25.11,9.16,8.41,13.45,5.91,16.63,65.6
1,4.48,1.82,2.26,1.18,64.47,4.87,82.6
0,23.83,6.72,6.86,5.82,11.76,15.88,72.7
1,13.45,9.86,2.67,4.04,15.15,10.87,73.5
1,4.88,2.0,2.42,2.87,62.53,4.35,77.1
1,4.44,1.79,2.26,1.35,64.47,4.72,83.0
1,13.56,9.37,2.7,3.72,15.49,11.52,73.5
0,21.84,5.94,6.07,4.27,16.72,14.0,72.7
0,22.03,33.21,26.98,41.54,2.24,14.29,56.5
0,24.87,9.01,7.95,11.52,6.39,17.05,68.1
1,4.67,1.98,2.27,1.57,61.28,5.06,82.0
0,22.14,7.05,6.22,6.69,10.2,15.56,72.4
0,24.99,9.12,8.11,12.7,5.88,16.56,66.2
1,4.84,1.97,2.41,2.49,64.47,4.27,78.2
1,4.67,1.93,2.27,1.51,62.53,5.0,82.4
0,22.54,7.7,6.51,7.83,8.61,16.02,70.9
0,23.39,41.24,29.87,48.22,2.19,14.94,56.2
1,4.65,1.97,2.3,1.51,62.53,4.93,81.9
1,4.61,1.96,2.29,1.49,64.47,4.91,82.1
1,4.67,1.98,2.32,1.5,63.16,5.0,81.5
0,22.24,7.02,6.14,6.61,10.37,15.31,72.5
0,24.06,8.74,7.38,9.67,7.19,16.49,70.0
1,4.69,1.97,2.29,1.57,64.47,5.04,82.0
0,25.85,6.99,8.02,5.68,11.76,16.08,72.3
0,22.86,6.42,6.35,5.7,12.4,15.62,72.6
0,22.24,33.21,26.46,41.25,2.22,14.29,56.5
1,5.08,2.23,2.42,3.38,49.63,4.21,75.6
0,23.07,42.03,29.56,49.38,2.22,14.58,55.4
1,4.86,1.98,2.41,2.64,64.47,4.35,77.8
0,22.86,41.24,29.56,49.38,2.21,14.29,55.1
1,5.13,2.33,2.45,3.22,43.95,4.21,74.4
0,27.01,7.49,9.09,5.15,12.51,16.42,72.5
0,21.84,6.61,6.07,6.18,11.19,15.43,72.2
1,4.91,2.07,2.41,3.07,63.81,4.43,76.8
0,27.01,8.33,8.95,5.02,12.51,16.7,72.6
1,16.62,8.74,3.31,4.15,15.22,12.98,73.3
1,4.88,2.03,2.42,2.98,61.28,4.37,76.2
1,4.69,2.0,2.3,1.63,63.16,5.02,82.2
0,23.72,32.67,26.07,41.83,2.24,15.18,56.5
1,4.44,1.79,2.24,1.35,62.53,4.74,83.1
1,4.52,1.83,2.27,1.39,63.16,4.8,83.1
1,4.65,1.98,2.29,1.57,62.53,5.06,82.0
1,5.38,2.39,2.45,3.49,37.65,4.25,73.9
1,4.5,1.85,2.26,1.4,63.16,4.76,83.5
1,20.97,8.91,5.6,4.92,13.66,14.34,72.9
0,27.28,8.23,9.09,5.06,12.4,16.77,72.6
1,5.1,2.29,2.44,2.89,48.0,4.23,74.8
1,4.91,2.04,2.41,3.1,61.28,4.41,77.2
0,23.61,8.67,7.23,9.3,7.42,16.63,70.0
0,22.75,41.76,29.56,48.6,2.21,14.46,55.8
1,4.88,2.1,2.44,3.17,57.81,4.37,75.8
0,21.74,6.69,6.14,6.23,11.06,15.75,72.3
0,22.14,8.4,6.32,4.48,14.2,14.76,73.0
0,22.03,6.85,6.19,6.33,10.79,15.62,72.4
0,23.07,8.14,6.86,8.43,8.09,16.28,70.8
0,24.29,8.8,7.62,10.34,6.78,16.7,69.6
0,24.4,8.91,7.58,10.22,6.97,16.49,69.7
1,4.73,2.0,2.3,1.6,62.53,5.02,82.6
0,24.87,9.09,8.02,12.14,6.14,16.98,66.9
0,18.47,5.02,4.88,5.8,14.32,13.56,72.8
1,5.38,5.48,2.47,3.39,25.95,4.61,73.7
1,16.62,9.34,3.06,4.29,14.7,12.47,73.3
1,13.13,9.75,2.68,4.11,15.15,10.65,73.7
0,25.23,9.23,8.41,13.68,5.88,16.42,64.8
0,21.93,7.22,6.22,7.07,9.43,15.43,72.0
0,21.93,7.37,6.32,7.24,9.39,15.56,71.3
0,24.99,7.02,7.62,5.98,12.56,16.49,72.5
1,4.67,1.98,2.3,1.62,62.53,5.0,81.8
0,22.86,42.56,29.56,49.38,2.22,14.64,55.4
0,26.23,7.14,8.34,4.94,13.49,16.08,72.6
0,23.95,8.7,7.41,9.79,7.13,16.56,70.0
1,5.06,2.17,2.42,3.39,50.06,4.25,75.0
1,4.91,2.07,2.44,3.04,63.16,4.41,77.2
0,17.85,7.14,4.22,3.41,17.42,13.45,73.1
0,24.17,6.83,7.11,5.91,11.8,16.02,72.5
0,25.72,36.57,27.25,47.47,2.19,15.56,56.2
0,26.1,37.65,27.67,48.98,2.19,15.69,56.2
1,4.91,2.07,2.41,2.73,62.53,4.43,77.6
0,23.61,41.5,29.56,48.98,2.19,14.82,55.8
0,23.28,8.23,6.89,8.5,8.05,16.35,70.8
1,4.54,1.83,2.27,1.4,60.68,4.8,82.0
1,4.57,1.89,2.27,1.42,62.53,4.87,81.9
1,4.93,2.1,2.44,3.19,53.69,4.31,75.7
1,4.52,1.85,2.29,1.37,62.53,4.8,82.2
